key,value,formula,multiplier
sales_and_revenue,Sales and revenue,,1
cost_sales_revenue,Cost of sales and revenue,,-1
total_gross_profit,Total gross profit,"sales_and_revenue,cost_sales_revenue",1
selling_expenses,Selling expenses,,-1
general_adm_exp,General and administrative expenses,,-1
dividends_income,Dividends income,,-1
interest,Interest income,,1
investment,Investment income,,1
finance_income,Finance income,,1
interest_finance,Interest and finance costs,,-1
gains_in_exchange,Gains (losses) on changes in foreign exchange rates,,1
pnl_associates_equity,Share of profit (loss) of associates accounted for using equity method,,1
pnl_joint_ventures,Share of profit (loss) of joint ventures accounted for using equity method,,1
gains_in_securities,Gains (losses) on changes in fair value of marketable securities,,1
realised_gains,Realised gains (losses) on trading of marketable securities,,1
gains_in_finance,Gains (losses) on derivative financial instruments,,1
final_tax,Final tax expenses,,-1
other_income,Other income,,1
other_expenses,Other expenses,,-1
other_gains,Other gains (losses),,1
total_profit_before_tax,Total profit (loss) before tax,"total_gross_profit,selling_expenses,general_adm_exp,dividends_income,interest,investment,finance_income,interest_finance,gains_in_exchange,pnl_joint_ventures,pnl_associates_equity,gains_in_securities,realised_gains,gains_in_finance,final_tax,other_income,other_expenses,other_gains",1
tax_benefit,Tax benefit (expenses),,1
total_profit_operations,Total profit (loss) from continuing operations,"total_profit_before_tax,tax_benefit",1
pnl_discountinued_operations,Profit (loss) from discontinued operations,,1
total_profit,Total profit (loss),"total_profit_operations,pnl_discountinued_operations",1
other_income_to_pnl,"Other comprehensive income that will not be reclassified to profit or loss, before tax",,1
other_income_to_ppe,"Other comprehensive income for gains (losses) on revaluation of property, plant and equipment, before tax",,1
other_income_to_obligation,"Other comprehensive income for remeasurement of defined benefit obligation, before tax",,1
other_income_not_to_pnl,"Other adjustments to other comprehensive income that will not be reclassified to profit or loss, before tax",,1
total_other_income,"Total other comprehensive income that will not be reclassified to profit or loss, before tax","other_income_to_pnl,other_income_to_ppe,other_income_to_obligation,other_income_not_to_pnl,other_income_related_to_pnl",1
gains_diff_translation,"Gains (losses) on exchange differences on translation, before tax",,1
reclassification_adjustment,"Reclassification adjustments on exchange differences on translation, before tax",,-1
unrealized_income,"Unrealised gains (losses) on changes in fair value through other comprehensive income, before tax",,1
reclassified_adjustment,"Reclassification adjustments on fair value through other comprehensive income financial assets, before tax",,-1
gains_on_cashflow,"Gains (losses) on cash flow hedges, before tax",,1
reclassification_cashflow,"Reclassification adjustments on cash flow hedges, before tax",,-1
carrying_amount,"Carrying amount of non-financial asset (liability) whose acquisition or incurrence was hedged on highly probable forecast transaction, adjusted from equity, before tax",,1
gains_on_investments,"Gains (losses) on hedges of net investments in foreign operations, before tax",,1
reclassification_foreign_ops,"Reclassification adjustments on hedges of net investments in foreign operations, before tax",,-1
share_on_equity,"Share of other comprehensive income of associates accounted for using equity method, before tax",,1
share_on_joint_ventures,"Share of other comprehensive income of joint ventures accounted for using equity method, before tax",,1
other_adjustment_pnl,"Other adjustments to other comprehensive income that may be reclassified to profit or loss, before tax",,1
total_other_income_to_pnl,"Total other comprehensive income that may be reclassified to profit or loss, before tax","gains_diff_translation,reclassified_adjustment,unrealized_income,reclassification_adjustment,gains_on_cashflow,reclassification_cashflow,carrying_amount,gains_on_investments,reclassification_foreign_ops,share_on_equity,share_on_joint_ventures,other_adjustment_pnl",1
total_comprehensive_income_before_tax,"Total other comprehensive income, before tax","total_other_income,total_other_income_to_pnl",1
tax_on_comprehensive_income,Tax on other comprehensive income,,-1
total_comprehensive_income_after_tax,"Total other comprehensive income, after tax","total_comprehensive_income_before_tax,tax_on_comprehensive_income",1
total_comprehensive_income,Total comprehensive income,"total_profit,total_comprehensive_income_after_tax",1
pnl_attibutable,Profit (loss) attributable to,"pnl_to_parent,pnl_to_nci",1
pnl_to_parent,Profit (loss) attributable to parent entity,,1
pnl_to_nci,Profit (loss) attributable to non-controlling interests,,1
comprehensive_income,Comprehensive income attributable to,"comprehensive_income_to_parent,comprehensive_income_to_nci",1
comprehensive_income_to_parent,Comprehensive income attributable to parent entity,,1
comprehensive_income_to_nci,Comprehensive income attributable to non-controlling interests,,1
basic_earnings,Basic earnings per share attributable to equity owners of the parent entity,"basic_earnings_ops,basic_earnings_discontinued_ops",1
basic_earnings_ops,Basic earnings (loss) per share from continuing operations,,1
basic_earnings_discontinued_ops,Basic earnings (loss) per share from discontinued operations,,1
diluted_earnings,Diluted earnings (loss) per share,"diluted_earnings_ops,diluted_earnings_discontinued_ops",1
diluted_earnings_ops,Diluted earnings (loss) per share from continuing operations,,1
diluted_earnings_discontinued_ops,Diluted earnings (loss) per share from discontinued operations,,1
eps,Earnings (loss) per share,"diluted_earnings_ops,basic_earnings",1
